Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1288,100.0,574.9725,-611.801,0.9398031386022578,6.01,2.81,3.2,0.8781249999999999,16.03,-76.24,5.29,55.46699909338169,Assessment
1289,100.0,576.7175,-611.203,0.9435776656855416,6.0,2.81,3.19,0.8808777429467085,16.03,-76.59,5.29,55.41278331822302,Assessment
1290,100.0,576.594,-609.4495,0.9460898729098968,6.0,2.81,3.19,0.8808777429467085,16.03,-77.19,5.29,55.253807796917485,Assessment
1291,100.0,575.6725,-611.243,0.9418062865341608,6.0,2.81,3.19,0.8808777429467085,15.97,-77.0,5.29,55.719507748404745,Assessment
1292,100.0,575.4945,-608.964,0.9450386229727864,6.01,2.81,3.2,0.8781249999999999,15.97,-76.37,5.29,55.511759343664544,Assessment
1293,100.0,575.6645,-610.5405,0.9428768443698656,6.0,2.8,3.2,0.8749999999999999,15.97,-76.37,5.29,55.65546946216955,Assessment
1294,100.0,574.925,-606.8275,0.9474273990549208,6.0,2.8,3.2,0.8749999999999999,15.9,-76.59,5.29,55.67224770642201,Assessment
1295,100.0,576.3495,-610.1415,0.944616125931444,6.0,2.81,3.19,0.8808777429467085,15.97,-76.73,5.29,55.61909753874202,Assessment
1296,100.0,575.9185,-610.5585,0.9432650597772368,6.0,2.81,3.19,0.8808777429467085,15.97,-77.05,5.29,55.65711030082041,Assessment
1297,100.0,575.3185,-612.4605,0.9393560890865614,6.0,2.81,3.19,0.8808777429467085,15.97,-76.65,5.29,55.83049225159526,Assessment
1298,100.0,574.9815,-612.651,0.9385139337077716,6.01,2.81,3.2,0.8781249999999999,15.97,-75.78,5.23,55.84785779398359,Assessment
1299,100.0,575.4985,-610.983,0.941922279343288,6.0,2.8,3.2,0.8749999999999999,15.97,-76.46,5.29,55.69580674567,Assessment
1300,100.0,576.624,-612.6125,0.9412540553775838,6.0,2.81,3.19,0.8808777429467085,16.03,-77.0,5.29,55.540571169537614,Assessment
1301,100.0,575.9095,-611.511,0.9417810963335084,6.0,2.81,3.19,0.8808777429467085,15.97,-77.32,5.29,55.74393801276207,Assessment
1302,100.0,575.656,-609.6965,0.9441681229923412,6.0,2.81,3.19,0.8808777429467085,15.97,-77.05,5.29,55.5785323609845,Assessment
1303,100.0,575.0805,-612.4085,0.93904722093178,6.01,2.81,3.2,0.8781249999999999,16.03,-76.05,5.29,55.52207615593834,Assessment
1304,100.0,574.882,-610.925,0.941002578057863,6.0,2.8,3.2,0.8749999999999999,15.97,-76.65,5.29,55.6905195989061,Assessment
1305,100.0,576.4525,-614.7925,0.9376374955777762,6.0,2.81,3.19,0.8808777429467085,16.03,-77.13,5.29,55.73821396192203,Assessment
1306,100.0,575.9145,-613.8475,0.9382045214813124,6.0,2.81,3.19,0.8808777429467085,16.03,-77.05,5.29,55.65253853127832,Assessment
1307,100.0,575.443,-610.9405,0.941896960505974,6.0,2.81,3.19,0.8808777429467085,15.97,-76.32,5.23,55.69193254329991,Assessment
1308,100.0,574.9015,-607.2125,0.9467879860839492,6.01,2.81,3.2,0.8781249999999999,15.97,-75.91,5.29,55.35209662716499,Assessment
1309,100.0,576.404,-614.366,0.938209471227249,6.0,2.81,3.19,0.8808777429467085,16.03,-76.92,5.29,55.69954669084315,Assessment
1310,100.0,576.3525,-614.2285,0.9383356519601416,6.0,2.81,3.19,0.8808777429467085,16.03,-77.4,5.29,55.68708068902992,Assessment
1311,100.0,575.9055,-613.44,0.93881308685446,6.0,2.81,3.19,0.8808777429467085,15.97,-77.13,5.29,55.91978122151322,Assessment
1312,100.0,575.5415,-612.29,0.9399818713354784,6.01,2.81,3.2,0.8781249999999999,15.97,-76.81,5.29,55.81494986326344,Assessment
1313,100.0,575.098,-614.535,0.9358262751511304,6.0,2.8,3.2,0.8749999999999999,15.97,-76.27,5.29,56.01959890610756,Assessment
1314,100.0,574.924,-607.4485,0.9464571893749018,6.0,2.8,3.2,0.8749999999999999,15.9,-76.32,5.23,55.72922018348624,Assessment
1315,100.0,576.3835,-607.5285,0.94873491531673,6.0,2.81,3.19,0.8808777429467085,16.03,-77.05,5.29,55.079646418857656,Assessment
1316,100.0,575.9065,-612.9535,0.939559852419474,6.0,2.81,3.19,0.8808777429467085,16.1,-77.46,5.29,55.221036036036026,Assessment
1317,100.0,575.33,-612.654,0.9390781746303788,6.0,2.81,3.19,0.8808777429467085,16.03,-77.05,5.29,55.54433363553943,Assessment
1318,100.0,574.8485,-614.4175,0.935599165062844,6.01,2.81,3.2,0.8781249999999999,16.03,-76.65,5.29,55.70421577515865,Assessment
1319,100.0,576.2725,-611.748,0.9420096183395776,6.0,2.81,3.19,0.8808777429467085,16.1,-77.0,5.36,55.11243243243243,Assessment
1320,100.0,576.5425,-608.3285,0.947748625947987,6.0,2.81,3.19,0.8808777429467085,15.97,-76.46,5.29,55.45382862351868,Assessment
1321,100.0,575.6175,-610.7605,0.9424602606095188,6.0,2.81,3.19,0.8808777429467085,16.03,-77.21,5.29,55.37266545784224,Assessment
1322,100.0,575.456,-610.7295,0.94224366106435,6.01,2.81,3.2,0.8781249999999999,15.97,-77.05,5.29,55.67269826800364,Assessment
1323,100.0,575.1295,-610.42,0.942186527309066,6.0,2.8,3.2,0.8749999999999999,15.97,-76.1,5.29,55.64448495897903,Assessment
1324,100.0,576.624,-612.25,0.9418113515720704,6.0,2.81,3.19,0.8808777429467085,16.03,-76.46,5.29,55.50770625566636,Assessment
1325,100.0,576.281,-613.6665,0.939078473405343,6.0,2.81,3.19,0.8808777429467085,15.97,-77.13,5.29,55.94042844120328,Assessment
1326,100.0,575.872,-609.952,0.9441267509574524,6.0,2.81,3.19,0.8808777429467085,15.97,-77.32,5.29,55.60182315405651,Assessment
1327,100.0,575.06,-610.1305,0.9425196740697276,6.0,2.81,3.19,0.8808777429467085,15.97,-76.86,5.29,55.61809480401094,Assessment
1328,100.0,574.941,-608.5735,0.944735516745307,6.01,2.81,3.2,0.8781249999999999,15.97,-76.1,5.29,55.47616226071102,Assessment
1329,100.0,576.4545,-609.0175,0.9465319141075584,6.0,2.81,3.19,0.8808777429467085,15.97,-76.65,5.29,55.51663628076573,Assessment
