Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1446,100.0,227.259,-232.392,0.9779123205618092,8.57,2.75,5.82,0.4725085910652921,12.91,-68.26,4.71,29.3795195954488,Unvisited
1447,100.0,227.0905,-232.68,0.9759777376654633,8.57,2.76,5.81,0.4750430292598967,12.91,-68.07,4.71,29.41592920353982,Unvisited
1448,100.0,227.1925,-221.3775,1.026267348759472,8.58,2.76,5.82,0.4742268041237112,12.65,-66.42,4.71,28.938235294117646,Unvisited
1449,100.0,226.9095,-237.612,0.9549580829251048,8.58,2.75,5.83,0.4716981132075472,12.71,-67.58,4.71,30.818677042801557,Unvisited
1450,100.0,227.274,-232.415,0.977880085192436,8.56,2.75,5.81,0.4733218588640275,12.71,-67.5,4.71,30.14461738002593,Unvisited
1451,100.0,227.3005,-223.0295,1.019149933080601,8.58,2.76,5.82,0.4742268041237112,12.45,-65.6,4.71,29.936845637583897,Unvisited
1452,100.0,228.005,-17.8665,12.76159292530714,7.13,7.02,0.11,63.81818181818181,12.65,-38.64,4.71,2.335490196078431,Unvisited
1453,100.0,49.7055,-38.1435,1.3031184867670769,3.83,0.61,3.22,0.1894409937888198,25.02,-77.24,1.26,1.9052697302697303,Unvisited
1454,100.0,3003.394,3.3265,-902.8690816173156,5.04,4.94,0.1,49.4,5.1,-1.14,2.36,-33.265000000000114,Unvisited
1455,100.0,2991.1905,17.995,-166.22342317310364,1.69,1.58,0.11,14.363636363636363,4.9,-2.17,0.41,179.95000000000064,Unvisited
1456,100.0,2991.29,17.528,-170.6578046554085,1.4,1.29,0.11,11.727272727272728,2.75,-1.63,0.02,7.790222222222222,Unvisited
1457,100.0,3004.664,16.085,-186.7991296238732,1.39,1.29,0.1,12.9,2.82,-3.12,0.02,7.378440366972477,Unvisited
